month_year,Avg_ride_length,Avg_ride_length_Casual,Avg_ride_length_Member,Casual_riders,Member_riders,Electric_bike_riders,Classic_bike_riders,Total_riders
10/2023,14.788641694012822,21.380315100628987,11.648077298112987,130297,273478,136110,267665,403775
4/2024,16.223530606830913,24.772268645171319,12.283898045948787,93943,203850,109892,187901,297793
8/2024,18.013180475158922,24.71094704617418,13.12310434433194,228331,312737,189245,351823,541068
12/2023,12.061360105461087,16.534409129731607,10.803449007177552,36686,130453,62817,104322,167139
2/2024,13.413318086267688,19.823988734608339,11.743783759196702,38170,146565,44777,139958,184735
7/2024,19.081416580859376,26.47332923797601,13.531698390248051,231970,308971,171537,369404,540941
9/2023,16.89501903419708,23.533382242936945,12.672765363128473,196962,309670,160105,346527,506632
1/2024,12.174108798228566,15.536479798264931,11.554323197424742,17713,96094,37599,76208,113807
6/2024,19.057502329696284,26.442052108875437,13.6756351163103,208397,285945,157771,336571,494342
11/2023,12.846395842280348,17.885802914475665,11.054363006050313,72077,202689,99113,175653,274766
3/2024,14.300861289038389,22.030780455708076,11.401143378101061,62818,167457,82100,148175,230275
5/2024,18.468702081237218,26.938787227693275,13.303132473110443,167550,274735,136225,306060,442285